/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
10-listen-on-ipv6-by-default.sh: info: Enabled listen on IPv6 in /etc/nginx/conf.d/default.conf
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
192.168.128.35 - - [16/Feb/2021:18:25:36 +0000] "GET /api/v0/users/ HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
2021/02/16 18:25:36 [error] 30#30: *47 open() "/etc/nginx/html/favicon.ico" failed (2: No such file or directory), client: 192.168.128.35, server: , request: "GET /favicon.ico HTTP/1.1", host: "a5922309304704f9bb5eea1c48623083-2085774263.us-east-2.elb.amazonaws.com:8080", referrer: "http://a5922309304704f9bb5eea1c48623083-2085774263.us-east-2.elb.amazonaws.com:8080/api/v0/users/"
192.168.128.35 - - [16/Feb/2021:18:25:36 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "http://a5922309304704f9bb5eea1c48623083-2085774263.us-east-2.elb.amazonaws.com:8080/api/v0/users/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.65.22 - - [16/Feb/2021:18:25:47 +0000] "POST /api/v0/users/ HTTP/1.1" 200 72 "-" "PostmanRuntime/7.26.8"
192.168.65.22 - - [16/Feb/2021:18:25:48 +0000] "POST /api/v0/users/ HTTP/1.1" 200 72 "-" "PostmanRuntime/7.26.8"
192.168.65.22 - - [16/Feb/2021:18:25:49 +0000] "POST /api/v0/users/ HTTP/1.1" 200 72 "-" "PostmanRuntime/7.26.8"
192.168.65.22 - - [16/Feb/2021:18:25:49 +0000] "POST /api/v0/users/ HTTP/1.1" 200 72 "-" "PostmanRuntime/7.26.8"
192.168.65.22 - - [16/Feb/2021:18:25:50 +0000] "POST /api/v0/users/ HTTP/1.1" 200 72 "-" "PostmanRuntime/7.26.8"
192.168.65.22 - - [16/Feb/2021:18:25:51 +0000] "POST /api/v0/users/ HTTP/1.1" 200 72 "-" "PostmanRuntime/7.26.8"
192.168.128.35 - - [16/Feb/2021:18:25:52 +0000] "GET /api/v0/users/ HTTP/1.1" 200 293 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.173.95 - - [16/Feb/2021:18:26:00 +0000] "GET /api/v0/users/ HTTP/1.1" 200 293 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.173.95 - - [16/Feb/2021:18:26:19 +0000] "GET /api/v0/users/ HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.173.95 - - [16/Feb/2021:18:26:23 +0000] "GET /api/v0/users/ HTTP/1.1" 200 147 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.173.95 - - [16/Feb/2021:18:26:25 +0000] "GET /api/v0/users/ HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.173.95 - - [16/Feb/2021:18:26:26 +0000] "GET /api/v0/users/ HTTP/1.1" 200 147 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.173.95 - - [16/Feb/2021:18:26:27 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.173.95 - - [16/Feb/2021:18:26:27 +0000] "GET /api/v0/users/ HTTP/1.1" 200 293 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.173.95 - - [16/Feb/2021:18:26:30 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.173.95 - - [16/Feb/2021:18:26:31 +0000] "GET /api/v0/users/ HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.173.95 - - [16/Feb/2021:18:26:32 +0000] "GET /api/v0/users/ HTTP/1.1" 200 147 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.173.95 - - [16/Feb/2021:18:26:32 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.173.95 - - [16/Feb/2021:18:26:33 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.173.95 - - [16/Feb/2021:18:26:33 +0000] "GET /api/v0/users/ HTTP/1.1" 200 293 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.173.95 - - [16/Feb/2021:18:26:34 +0000] "GET /api/v0/users/ HTTP/1.1" 200 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.173.95 - - [16/Feb/2021:18:26:34 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.173.95 - - [16/Feb/2021:18:26:35 +0000] "GET /api/v0/users/ HTTP/1.1" 200 293 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
192.168.173.95 - - [16/Feb/2021:18:26:35 +0000] "GET /api/v0/users/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36"
